economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
GEO,99.0516671906803,89.1172954749775,87.6051207081545,88.4331103093145,88.6037682074041,87.4915023793338,97.2559626973365,96.1091692264237,104.889671767611,107.923940842878,96.4649704879569,95.967612162316,93.033830016197,91.167099754836,91.5004498136486,90.7496684838662,85.0742270342672,83.6947028575915,82.5152356309726,83.6634541230275,95.4361407443913,97.4757415628991
GIB,,,,,,,,,,,,,,,,,,,,,,
GRC,85.1532294328989,84.8711450459643,85.3735829841099,83.7259205802761,83.1750425303407,86.1771248669309,84.3503196488515,85.3527365803468,88.0952851061565,91.4415761494132,89.6148226497623,91.8237894348176,92.4781955826925,90.5181417085797,89.6628503910515,88.9463941262693,88.607393979728,89.4881029654104,89.0141644515381,89.2278588517476,92.7327902499837,89.566436709377
GRL,,,,92.3504664705997,93.2629342320972,93.4283473510561,90.9493380111097,92.0643733720902,93.1165477564027,92.0827557731442,90.0063929535445,90.5426690072925,88.2823404888698,90.4148015517756,87.5449815058617,83.9114298968704,79.8109055789988,79.2074948616223,79.1263519571312,78.8056323358571,80.2088095569381,
HRV,84.4519449596113,83.9400432492439,84.9333389013289,82.5017505332708,81.8777139769541,81.9522243880518,79.534538895676,79.5367122769226,79.6923670207087,80.6601618180576,80.7886234723015,81.9991553301234,83.0336825005233,82.8730775891299,81.6556127448633,79.447422609549,78.1376983480949,77.6965828128789,77.7035330600232,77.520740262224,82.9078360670187,79.6659871793241
HUN,75.6259207034016,75.0552124529993,76.4427428258999,79.3280097957079,76.9368242883641,76.8110649071125,75.2191717132376,75.0369184121544,74.8986346540749,75.4927419921649,74.0659855144023,73.4838375592127,73.7291239109812,71.9046150088184,70.0921547630345,68.7552339520998,70.0458887874404,70.2861382439616,68.9391472486931,69.2895037598402,70.8178458089316,69.2014998269133
IMN,,,,,,,,,,,,,,,,,,,,,,
IRL,61.6693458459749,60.9725789446327,60.367501720284,60.5205385191248,59.9311041637278,59.6917497669573,60.046156139999,62.0371003725003,67.0339979580526,67.3162194416882,66.0845455412122,65.127193456857,63.3941719171833,62.1091458110983,59.2618759121237,45.4639933298226,46.5219780115667,44.1273525202656,42.6311919215526,41.2750497368838,37.7580432416849,35.9045778170935
ISL,81.9473811082838,77.9524626976059,78.5912198751996,81.6629642611668,80.767108384558,82.8630591280354,80.6528172785884,79.4158440807948,76.065867441131,76.6320461196284,76.2447988276586,76.7344666924497,78.217510109897,76.8243786636646,76.4037384009785,73.1111363329271,72.281060837789,73.7730280530181,74.4164310967839,74.3651195227345,79.2684487094906,78.9420901174909
ITA,78.2855498319832,77.8934234506687,77.6717561350642,78.3650841633128,78.1482305196035,78.9294548675972,78.8635866550807,78.0933316109747,78.9888119883295,81.1116889783072,81.2782873038655,80.9325007378291,81.1067223021615,80.7086994752384,80.1452631108066,79.8789504366133,79.1507930124235,79.0826438990188,79.068982616601,78.43446283455,78.723910218187,77.598366465954
KAZ,73.9633569208927,71.3262529643435,66.2085144012067,65.7424444575841,65.1475197083651,61.1054998532065,55.9025471514269,56.1553336964001,54.600305968026,59.1857456825156,56.1928268763926,52.6670645627482,56.4583541793039,60.0699458941737,59.1721806046824,65.3505402888127,66.1751702906997,63.1239275496515,60.4192620570995,61.411017891004,65.7459390399698,61.8771206113184
KGZ,85.7254768757163,82.2982127267929,86.1511965480822,94.7407578745556,94.2155172139687,102.054723922489,113.112993749566,104.589433091586,110.059209997878,96.7121038410638,102.722611543441,101.629922259275,115.906462207618,115.627642172078,113.47215081833,108.301946575223,100.233576973333,99.2096716211506,99.655470738986,92.7561776099507,94.4518156001052,101.228284790593
LIE,,,,,,,,,,,,,,,,,,,,,,
LTU,87.3580959796588,86.3823580903567,84.8740471608256,83.8240381559251,84.1733403609034,82.957968911516,83.3134018958154,80.7950538031511,83.4824711167923,89.1031774343733,83.8769639528066,80.7227364875394,79.6297372149905,79.023880478343,78.5581987479891,79.7272740758521,80.0708421130422,78.5019085280814,77.8276219039317,76.9682702033916,76.757226934315,75.8091050804948
