economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
FRA,27.2662714690058,26.6934728903914,25.5409745004028,24.6858645485955,25.4561715567725,26.947655734595,28.16836935943,28.5674990728149,29.2776980294924,25.6269036398058,28.0794912416196,30.369238945981,30.499031981938,30.3993172078638,30.8121120215465,31.1590715564548,30.852605198715,32.0132141063066,32.7242853866575,32.549417775836,29.4135952484106,31.3909159612455
FRO,59.2097941012799,53.3401679662825,49.559429791884,61.4859060267022,49.7135446908992,58.9159480716384,55.5951894788602,57.3765599352858,57.5214476472581,53.2021545385859,50.4605694590596,53.4119798403283,64.5990255698994,58.6193202501903,52.7282510333358,52.3941791303344,50.0163690319038,50.8736087818265,54.0561614716809,52.704261454662,49.1438976535409,52.2089841026356
GBR,26.8509176374004,27.2847921503366,26.8645380041376,26.1477762121182,26.3536141209896,27.3614771766801,29.3655034467494,27.4149432782677,29.0967726966892,27.9612754062487,30.2470073760482,32.0645639284922,31.5154143520964,31.606310062975,30.4673488198314,29.2826957654303,30.6057482491531,32.1271189367139,32.7648893812488,32.8725470748963,28.878969128657,28.7210740035534
GEO,39.6669292250666,38.8685585855559,42.3998497854077,46.1776485561822,47.9118105106725,51.2705556368268,56.6545080094852,57.5751156304064,58.0349045080184,48.6478372067163,49.9445503537779,52.8590548183385,55.4259878871574,53.8801319199387,56.8403804138286,57.9065861205245,56.0260631766938,57.5124627100016,61.1970116189904,63.7808751662009,56.5843034270251,59.6342899278429
GIB,,,,,,,,,,,,,,,,,,,,,,
GRC,34.6972963924628,33.3512247716626,30.2361415611639,29.6454709237343,29.1903267541014,29.5886337636957,31.676229834167,35.004104285311,35.968146503669,28.7616597798192,29.3991835681341,31.3441899333356,33.3187053259551,32.6692945768832,34.0407294058628,33.1505312250043,32.7317417172708,36.5448563051391,41.1571204563819,41.7742935310089,39.6823957653075,48.5868993710656
GRL,,,,49.501392594901,48.8657074560158,58.6472672201639,51.8907405087082,58.7647889738963,70.394091376455,55.0262482673194,76.4163943742009,92.5500100609904,63.4664108755334,58.2108160084883,48.61576076735,45.5215358812404,45.0726252078338,43.5150221202513,45.3221117220578,51.198774185795,48.836192331392,
HRV,39.5265456528118,42.2981646166646,45.2683898983131,45.9103283911457,45.0506523133308,45.0684959308912,46.0195364830258,45.88145721717,46.1871160667245,37.8398656937487,37.323270518259,39.9172684993031,40.5308109064863,41.7555421139989,43.082115357496,45.4886976218194,45.7666609284436,48.5239962501149,50.2713817952253,51.0059699158039,48.5033854890341,52.7485233344476
HUN,70.5487114580459,66.167747926773,60.1831355869059,60.2849888586055,63.884046937055,65.2978942300688,75.2280481301423,77.6786855421461,79.1443791590911,70.7756439705988,76.3576095594801,80.3554863056895,79.7692669882925,78.9352878466961,81.2711297802477,79.7939941049408,77.9991894310291,79.3089515487009,79.5056985090916,79.236996596554,76.7997865633128,81.2447369016344
IMN,,,,,,,,,,,,,,,,,,,,,,
